feature,importance
vix_pct,0.011894116
ret_10d,0.010799156
atr_expansion,0.010503559
eem_rsi,0.009409192
roc_10,0.008438615
bn_macd,0.008424452
icici_macd,0.008397274
rsi_lag5,0.008330102
metal_rsi,0.008206264
energy_macd,0.008102563
vix_ma_ratio,0.007875888
atr_ratio,0.00785488
vix_lag3,0.0077873617
bb_width,0.007761933
fmcg_macd,0.007531541
vix_lag2,0.0075021484
spread,0.0074666427
eem_macd,0.007466039
auto_macd,0.0073815407
macd_hist_lag1,0.0073558567
month_cos,0.007312976
energy_rsi,0.007205527
inda_adx,0.0070975283
tcs_adx,0.0070717605
momentum_div,0.0070517035
roc_5,0.0070330417
vix_lag5,0.0070281844
icici_ret,0.007013536
rel_adx,0.007000369
metal_macd,0.006969108
us10y_macd,0.0069573675
gold_crude_ratio,0.0069439625
macd_hist,0.0069255335
shanghai_macd,0.0068793874
shanghai_rsi,0.0068205683
cmf_proxy,0.006755052
hdfc_macd,0.0067236666
pe_ratio,0.0067163454
copper_rsi,0.0067094374
consec_up,0.006683079
itc_wr,0.006649026
inda_wr,0.0066379765
inda_ret,0.006628598
dist_from_high_20,0.006574099
energy_ret,0.0065602176
bn_rsi,0.006552443
dist_from_low_20,0.006479887
energy_wr,0.006470245
rsi_lag2,0.0064359875
silver_rsi,0.006429698
infra_rsi,0.006424503
hdfc_adx,0.0064152507
us_vix_rsi,0.0063459603
bn_nifty_ratio,0.006291362
williams_r,0.0062816464
hdfc_wr,0.006256333
us10y_ret,0.0062394533
gold_rsi,0.006227622
fmcg_ret,0.0062204595
macd_hist_lag3,0.006208177
rel_macd,0.0061882953
adx,0.006151502
eem_adx,0.006147232
crude_macd,0.0061431113
silver_macd,0.0061396123
it_macd,0.006059864
crude_ret,0.006033932
energy_adx,0.0059608137
infra_adx,0.005919253
auto_adx,0.005905127
tcs_macd,0.0058893263
pharma_macd,0.0058853775
macd_hist_lag2,0.005858287
ret_5d,0.005834112
vix_usvix_ratio,0.0058230413
dxy_rsi,0.0058074165
ema_dist_50,0.005785571
infra_macd,0.0057245647
body_pct,0.0057038763
or_range,0.00565532
rel_rsi,0.0056201704
pharma_adx,0.005607043
crude_rsi,0.0056008594
pharma_wr,0.0055963784
it_ret,0.0055835554
itc_adx,0.0055470383
us_vix_adx,0.0054749586
ema_dist_10,0.0054577095
tcs_rsi,0.005455364
range_pctile,0.005414841
fmcg_wr,0.0054135546
fmcg_rsi,0.005362943
close_position,0.0053621414
fmcg_adx,0.0053440244
icici_rsi,0.0053212824
icici_adx,0.005320882
rel_wr,0.0052842647
infra_ret,0.0052714394
vwap_dev,0.0052711726
gold_wr,0.005231865
metal_adx,0.005226638
rsi_lag3,0.0052061183
rel_ret,0.005189
rsi,0.0051772776
crude_adx,0.0051735137
rsi_slope,0.005141727
nikkei_macd,0.005116222
inda_macd,0.0051005143
natgas_rsi,0.005099704
gold_ret,0.0050787954
dow_sin,0.005069621
inda_rsi,0.0050330777
auto_ret,0.0049691554
copper_macd,0.0049332306
ha_trend,0.0049112807
it_wr,0.0049079047
crude_wr,0.0049065626
auto_rsi,0.0048809308
metal_wr,0.0048773605
bn_vs_nifty,0.0048613856
natgas_macd,0.004829495
tcs_wr,0.004827034
us_vix_wr,0.004784408
itc_rsi,0.004774019
gold_macd,0.004763344
lower_wick,0.0047449223
usdinr_z,0.0047318884
kc_width,0.004708986
ndx_rsi,0.0046825614
us10y_rsi,0.0046587163
auto_wr,0.004643047
roc_20,0.0046272115
us_vix_ret,0.004623648
nikkei_rsi,0.004602357
it_rsi,0.004589101
hsi_macd,0.0045688213
sp_ret,0.0045510726
z20,0.0045307367
rsi_lag1,0.004526773
dxy_macd,0.0045243213
hdfc_ret,0.0045207525
ndx_ret,0.00449591
us_vix_macd,0.0044777766
nikkei_ret,0.004472695
natgas_ret,0.004438522
icici_wr,0.0044201766
buy_pct,0.004390201
pharma_rsi,0.004343917
ret_20d,0.004342113
itc_macd,0.0043328316
ret_3d,0.00431271
itc_ret,0.004302223
it_adx,0.004299837
gold_adx,0.004251031
infra_wr,0.004242672
hsi_ret,0.0041648517
copper_ret,0.0041601476
shanghai_ret,0.0041508693
vix_change,0.004111167
pharma_ret,0.004018542
intraday_trend,0.004012474
eem_wr,0.0039513544
upper_wick,0.0038249458
tcs_ret,0.003816988
hsi_rsi,0.003655278
eem_ret,0.0036380081
hdfc_rsi,0.0035524284
vix_accel,0.0034571642
ndx_macd,0.0034259134
vix_lag1,0.0033306929
dxy_ret,0.0033112776
metal_ret,0.0032566735
sell_pct,0.0031522613
silver_ret,0.0028368204
month_sin,0.0028333256
gap_pct,0.0026475436
dow_cos,0.0020221171
gap_filled,0.0
obv_slope,0.0
trend,0.0
vix_spike,0.0
engulfing,0.0
bb_squeeze,0.0
