n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.03,0.6,1.0,0.0,3.0,0.6078333705663681,0.6730120643715856,DOWN,0.4197131097316742,0.5802868604660034
100,7,0.03,0.6,1.0,0.5,3.0,0.6078674346208572,0.673293442692468,DOWN,0.42628541588783264,0.5737146139144897
200,7,0.03,0.8,1.0,0.5,3.0,0.608259454369545,0.6635277071299504,UP,0.6615949273109436,0.3384050726890564
300,7,0.03,0.8,1.0,0.5,3.0,0.608259454369545,0.6635277071299504,UP,0.6615949273109436,0.3384050726890564
200,7,0.03,0.8,0.7,0.0,1.0,0.6084032207727432,0.6790220798159465,UP,0.6132782697677612,0.38672173023223877
300,7,0.03,0.8,0.7,0.0,1.0,0.6084032207727432,0.6790220798159465,UP,0.6132782697677612,0.38672173023223877
300,7,0.03,0.6,0.7,0.0,1.0,0.6084871143102646,0.6732656897914758,DOWN,0.47147729992866516,0.5285227298736572
200,7,0.03,0.6,0.7,0.0,1.0,0.6084871143102646,0.6732656897914758,DOWN,0.47147729992866516,0.5285227298736572
200,7,0.01,0.6,1.0,0.0,1.0,0.6086439788341522,0.6747456972696564,UP,0.5376542806625366,0.4623457193374634
300,7,0.01,0.8,0.7,0.5,1.0,0.6086669713258743,0.6674133572688957,UP,0.5576323866844177,0.4423676133155823
100,7,0.03,0.6,0.7,0.0,1.0,0.6089715212583542,0.6797312070328552,DOWN,0.4375300705432892,0.5624699592590332
300,7,0.01,0.8,1.0,0.5,1.0,0.6090350896120071,0.6638059302779145,UP,0.5196477770805359,0.4803522229194641
300,7,0.01,0.6,1.0,0.5,1.0,0.6090904176235199,0.6628504808146977,UP,0.5203094482421875,0.4796905517578125
100,7,0.03,0.8,1.0,0.0,1.0,0.6091525256633759,0.6674216280288399,UP,0.6075153946876526,0.3924846053123474
200,7,0.05,0.8,1.0,0.0,3.0,0.6092552840709686,0.6731821408125908,UP,0.6365312337875366,0.3634687662124634
100,7,0.05,0.8,1.0,0.0,3.0,0.6092552840709686,0.6731821408125908,UP,0.6365312337875366,0.3634687662124634
300,7,0.05,0.8,1.0,0.0,3.0,0.6092552840709686,0.6731821408125908,UP,0.6365312337875366,0.3634687662124634
200,7,0.01,0.6,0.7,0.5,1.0,0.6093197166919708,0.6866357728962064,UP,0.5251427888870239,0.4748572111129761
200,7,0.01,0.6,0.7,0.0,1.0,0.6096548736095428,0.6833386087824533,UP,0.5073665976524353,0.4926334023475647
200,7,0.03,0.8,0.7,0.0,3.0,0.6097356975078583,0.6633699989667861,UP,0.5343378186225891,0.4656621813774109
300,7,0.03,0.8,0.7,0.0,3.0,0.6097356975078583,0.6633699989667861,UP,0.5343378186225891,0.4656621813774109
100,7,0.03,0.8,0.7,0.0,1.0,0.6098189949989319,0.680458861425142,UP,0.6098777055740356,0.39012229442596436
300,7,0.01,0.6,0.7,0.0,3.0,0.6099201440811157,0.6735933986714955,UP,0.5563128590583801,0.4436871409416199
200,7,0.01,0.8,0.7,0.0,1.0,0.6102599799633026,0.6734315929904342,UP,0.5829601883888245,0.41703981161117554
300,7,0.01,0.8,0.7,0.0,3.0,0.610368013381958,0.6683513102465545,UP,0.5254099369049072,0.4745900630950928
300,5,0.03,0.6,0.7,0.0,1.0,0.6104519218206406,0.6611354760575382,UP,0.6148831844329834,0.3851168155670166
200,5,0.03,0.6,0.7,0.0,1.0,0.6104519218206406,0.6611354760575382,UP,0.6148831844329834,0.3851168155670166
300,7,0.01,0.6,0.7,0.5,3.0,0.6104639768600464,0.6707579709764477,UP,0.5629780292510986,0.43702197074890137
300,7,0.01,0.8,1.0,0.0,1.0,0.6106026023626328,0.6738871452702191,DOWN,0.4812479615211487,0.5187520384788513
200,7,0.01,0.8,0.7,0.5,1.0,0.6108627766370773,0.6707971245689193,UP,0.5716317296028137,0.4283682703971863
100,7,0.03,0.8,0.7,0.0,3.0,0.6108688116073608,0.6640883897713837,UP,0.5179555416107178,0.4820444583892822
100,7,0.03,0.8,1.0,0.5,1.0,0.6113243401050568,0.6729183094600328,UP,0.5944010019302368,0.4055989980697632
300,7,0.03,0.8,1.0,0.5,1.0,0.6113243401050568,0.6729183094600328,UP,0.5944010019302368,0.4055989980697632
200,7,0.03,0.8,1.0,0.5,1.0,0.6113243401050568,0.6729183094600328,UP,0.5944010019302368,0.4055989980697632
200,7,0.05,0.6,1.0,0.0,3.0,0.6113708019256592,0.6629308746206641,DOWN,0.48885464668273926,0.5111453533172607
300,7,0.05,0.6,1.0,0.0,3.0,0.6113708019256592,0.6629308746206641,DOWN,0.48885464668273926,0.5111453533172607
100,7,0.05,0.6,1.0,0.0,3.0,0.6113708019256592,0.6629308746206641,DOWN,0.48885464668273926,0.5111453533172607
300,7,0.01,0.6,1.0,0.5,3.0,0.611394926905632,0.6724781418033992,UP,0.5194563269615173,0.48054367303848267
300,7,0.03,0.8,0.7,0.5,3.0,0.6114457100629807,0.6622557854092015,UP,0.6149060130119324,0.3850939869880676
200,7,0.03,0.8,0.7,0.5,3.0,0.6114789545536041,0.6615373946046038,UP,0.6078771948814392,0.3921228051185608
200,7,0.01,0.8,1.0,0.5,1.0,0.6115555167198181,0.6650345251641447,UP,0.5099816918373108,0.4900183081626892
200,7,0.05,0.8,1.0,0.5,3.0,0.6117639988660812,0.672972910779114,UP,0.6376651525497437,0.36233484745025635
300,7,0.05,0.8,1.0,0.5,3.0,0.6117639988660812,0.672972910779114,UP,0.6376651525497437,0.36233484745025635
100,7,0.05,0.8,1.0,0.5,3.0,0.6117639988660812,0.672972910779114,UP,0.6376651525497437,0.36233484745025635
200,7,0.03,0.8,1.0,0.0,3.0,0.6119875013828278,0.662319751281505,UP,0.5984998345375061,0.4015001654624939
