n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.05,1.0,0.7,0.0,3.0,0.7672581076622009,0.4813947361955716,UP,0.5327318906784058,0.46726810932159424
100,7,0.05,1.0,0.7,0.0,3.0,0.7672581076622009,0.4813947361955716,UP,0.5327318906784058,0.46726810932159424
300,7,0.05,1.0,0.7,0.0,3.0,0.7672581076622009,0.4813947361955716,UP,0.5327318906784058,0.46726810932159424
200,7,0.03,1.0,0.7,0.5,1.0,0.7673240005970001,0.49872681621008363,UP,0.5122011303901672,0.48779886960983276
100,7,0.03,1.0,0.7,0.5,1.0,0.7673240005970001,0.49872681621008363,UP,0.5122011303901672,0.48779886960983276
300,7,0.03,1.0,0.7,0.5,1.0,0.7673240005970001,0.49872681621008363,UP,0.5122011303901672,0.48779886960983276
200,7,0.05,1.0,0.7,0.5,1.0,0.7686010599136353,0.49843306961136014,UP,0.5343021750450134,0.4656978249549866
100,7,0.05,1.0,0.7,0.5,1.0,0.7686010599136353,0.49843306961136014,UP,0.5343021750450134,0.4656978249549866
300,7,0.05,1.0,0.7,0.5,1.0,0.7686010599136353,0.49843306961136014,UP,0.5343021750450134,0.4656978249549866
200,5,0.03,1.0,0.7,0.0,3.0,0.7692400217056274,0.49360531849409234,UP,0.531593918800354,0.468406081199646
100,5,0.03,1.0,0.7,0.0,3.0,0.7692400217056274,0.49360531849409234,UP,0.531593918800354,0.468406081199646
300,5,0.03,1.0,0.7,0.0,3.0,0.7692400217056274,0.49360531849409234,UP,0.531593918800354,0.468406081199646
300,5,0.05,0.6,1.0,0.0,1.0,0.7695053070783615,0.5201136299768014,UP,0.5350027084350586,0.4649972915649414
100,5,0.05,0.6,1.0,0.0,1.0,0.7695053070783615,0.5201136299768014,UP,0.5350027084350586,0.4649972915649414
200,5,0.05,0.6,1.0,0.0,1.0,0.7695053070783615,0.5201136299768014,UP,0.5350027084350586,0.4649972915649414
100,7,0.05,0.6,1.0,0.5,3.0,0.7698522508144379,0.5106920943314247,UP,0.5118444561958313,0.4881555438041687
300,7,0.05,0.6,1.0,0.5,3.0,0.7698522508144379,0.5106920943314247,UP,0.5118444561958313,0.4881555438041687
200,7,0.05,0.6,1.0,0.5,3.0,0.7698522508144379,0.5106920943314247,UP,0.5118444561958313,0.4881555438041687
200,5,0.03,1.0,0.7,0.5,1.0,0.7698888182640076,0.5010809117591528,UP,0.5057089328765869,0.4942910671234131
300,5,0.03,1.0,0.7,0.5,1.0,0.7698888182640076,0.5010809117591528,UP,0.5057089328765869,0.4942910671234131
100,5,0.03,1.0,0.7,0.5,1.0,0.7698888182640076,0.5010809117591528,UP,0.5057089328765869,0.4942910671234131
200,5,0.03,1.0,0.7,0.5,3.0,0.7699805647134781,0.4941165406448534,UP,0.5304241180419922,0.4695758819580078
100,5,0.03,1.0,0.7,0.5,3.0,0.7699805647134781,0.4941165406448534,UP,0.5304241180419922,0.4695758819580078
300,5,0.03,1.0,0.7,0.5,3.0,0.7699805647134781,0.4941165406448534,UP,0.5304241180419922,0.4695758819580078
300,7,0.05,1.0,0.7,0.5,3.0,0.7704793959856033,0.4968272548716711,UP,0.5462681651115417,0.45373183488845825
100,7,0.05,1.0,0.7,0.5,3.0,0.7704793959856033,0.4968272548716711,UP,0.5462681651115417,0.45373183488845825
200,7,0.05,1.0,0.7,0.5,3.0,0.7704793959856033,0.4968272548716711,UP,0.5462681651115417,0.45373183488845825
100,7,0.05,0.6,1.0,0.5,1.0,0.7706369459629059,0.5076010555609964,UP,0.5118444561958313,0.4881555438041687
200,7,0.05,0.6,1.0,0.5,1.0,0.7706369459629059,0.5076010555609964,UP,0.5118444561958313,0.4881555438041687
300,7,0.05,0.6,1.0,0.5,1.0,0.7706369459629059,0.5076010555609964,UP,0.5118444561958313,0.4881555438041687
100,5,0.03,1.0,0.7,0.0,1.0,0.7711036056280136,0.4888620839420713,UP,0.5142497420310974,0.4857502579689026
200,5,0.03,1.0,0.7,0.0,1.0,0.7711036056280136,0.4888620839420713,UP,0.5142497420310974,0.4857502579689026
300,5,0.03,1.0,0.7,0.0,1.0,0.7711036056280136,0.4888620839420713,UP,0.5142497420310974,0.4857502579689026
300,5,0.03,0.8,1.0,0.0,1.0,0.7712942510843277,0.5110930326714369,UP,0.5003257393836975,0.4996742606163025
100,5,0.03,0.8,1.0,0.0,1.0,0.7712942510843277,0.5110930326714369,UP,0.5003257393836975,0.4996742606163025
200,5,0.03,0.8,1.0,0.0,1.0,0.7712942510843277,0.5110930326714369,UP,0.5003257393836975,0.4996742606163025
100,5,0.05,0.6,1.0,0.0,3.0,0.7714571207761765,0.5200208678929941,UP,0.5315005779266357,0.46849942207336426
300,5,0.05,0.6,1.0,0.0,3.0,0.7714571207761765,0.5200208678929941,UP,0.5315005779266357,0.46849942207336426
200,5,0.05,0.6,1.0,0.0,3.0,0.7714571207761765,0.5200208678929941,UP,0.5315005779266357,0.46849942207336426
100,7,0.05,0.6,1.0,0.0,3.0,0.7719351351261139,0.5169020004974235,UP,0.5121587514877319,0.48784124851226807
300,7,0.05,0.6,1.0,0.0,3.0,0.7719351351261139,0.5169020004974235,UP,0.5121587514877319,0.48784124851226807
200,7,0.05,0.6,1.0,0.0,3.0,0.7719351351261139,0.5169020004974235,UP,0.5121587514877319,0.48784124851226807
100,5,0.03,0.6,1.0,0.5,1.0,0.7720103114843369,0.5317212587305737,UP,0.5247020721435547,0.4752979278564453
200,5,0.03,0.6,1.0,0.5,1.0,0.7720103114843369,0.5317212587305737,UP,0.5247020721435547,0.4752979278564453
300,5,0.03,0.6,1.0,0.5,1.0,0.7720103114843369,0.5317212587305737,UP,0.5247020721435547,0.4752979278564453
300,7,0.01,1.0,0.7,0.0,1.0,0.772087812423706,0.4984712051347031,UP,0.5062018632888794,0.4937981367111206
200,7,0.01,1.0,0.7,0.0,1.0,0.772087812423706,0.4984712051347031,UP,0.5062018632888794,0.4937981367111206
100,5,0.05,0.6,1.0,0.5,3.0,0.772210881114006,0.523544796387857,UP,0.5312012434005737,0.46879875659942627
200,5,0.05,0.6,1.0,0.5,3.0,0.772210881114006,0.523544796387857,UP,0.5312012434005737,0.46879875659942627
300,5,0.05,0.6,1.0,0.5,3.0,0.772210881114006,0.523544796387857,UP,0.5312012434005737,0.46879875659942627
200,7,0.03,1.0,0.7,0.5,3.0,0.7723745703697205,0.490351430732091,UP,0.5386177897453308,0.4613822102546692
300,7,0.03,1.0,0.7,0.5,3.0,0.7723745703697205,0.490351430732091,UP,0.5386177897453308,0.4613822102546692
100,7,0.03,1.0,0.7,0.5,3.0,0.7723745703697205,0.490351430732091,UP,0.5386177897453308,0.4613822102546692
300,5,0.03,0.6,1.0,0.0,3.0,0.7724455893039703,0.5312017910612521,UP,0.5236464738845825,0.4763535261154175
100,5,0.03,0.6,1.0,0.0,3.0,0.7724455893039703,0.5312017910612521,UP,0.5236464738845825,0.4763535261154175
200,5,0.03,0.6,1.0,0.0,3.0,0.7724455893039703,0.5312017910612521,UP,0.5236464738845825,0.4763535261154175
200,3,0.05,0.6,1.0,0.0,1.0,0.7725664228200912,0.5340691701407224,UP,0.5344745516777039,0.46552544832229614
100,3,0.05,0.6,1.0,0.0,1.0,0.7725664228200912,0.5340691701407224,UP,0.5344745516777039,0.46552544832229614
300,3,0.05,0.6,1.0,0.0,1.0,0.7725664228200912,0.5340691701407224,UP,0.5344745516777039,0.46552544832229614
100,7,0.01,1.0,0.7,0.0,1.0,0.7725689560174942,0.4974549449721015,UP,0.5062018632888794,0.4937981367111206
200,7,0.05,1.0,0.7,0.0,1.0,0.7726545482873917,0.4979723512617831,UP,0.535077691078186,0.46492230892181396
100,7,0.05,1.0,0.7,0.0,1.0,0.7726545482873917,0.4979723512617831,UP,0.535077691078186,0.46492230892181396
300,7,0.05,1.0,0.7,0.0,1.0,0.7726545482873917,0.4979723512617831,UP,0.535077691078186,0.46492230892181396
200,5,0.03,0.6,1.0,0.5,3.0,0.7726657539606094,0.5195199526404338,UP,0.5234664678573608,0.47653353214263916
100,5,0.03,0.6,1.0,0.5,3.0,0.7726657539606094,0.5195199526404338,UP,0.5234664678573608,0.47653353214263916
300,5,0.03,0.6,1.0,0.5,3.0,0.7726657539606094,0.5195199526404338,UP,0.5234664678573608,0.47653353214263916
200,7,0.03,1.0,0.7,0.0,3.0,0.7727581113576889,0.49301576391700497,UP,0.5396275520324707,0.4603724479675293
300,7,0.03,1.0,0.7,0.0,3.0,0.7727581113576889,0.49301576391700497,UP,0.5396275520324707,0.4603724479675293
100,7,0.03,1.0,0.7,0.0,3.0,0.7727581113576889,0.49301576391700497,UP,0.5396275520324707,0.4603724479675293
200,5,0.05,1.0,0.7,0.0,3.0,0.7727870941162109,0.5018157936008718,UP,0.5254842042922974,0.47451579570770264
