feature,importance
dow_sin,0.013702794
bn_macd,0.010247854
vix_pct,0.010145982
dow_cos,0.009825471
dist_from_high_20,0.009424836
vix_lag5,0.008560511
tcs_macd,0.008446608
vix_ma_ratio,0.008425248
tcs_adx,0.008380723
it_adx,0.008372068
inda_wr,0.008354488
kc_width,0.008202959
silver_rsi,0.007975763
rsi,0.007975497
pharma_adx,0.007973489
or_range,0.007748208
vix_lag1,0.0077084014
dxy_rsi,0.007679874
eem_wr,0.007492757
gold_rsi,0.007476042
dist_from_low_20,0.0074258754
natgas_ret,0.007387659
month_cos,0.0072108256
infra_wr,0.0071983486
infra_macd,0.0071864207
shanghai_macd,0.00717647
bn_nifty_ratio,0.007079241
copper_macd,0.0070645055
hdfc_adx,0.0070121675
metal_macd,0.0068549225
vix_usvix_ratio,0.006843598
itc_ret,0.0068383683
crude_adx,0.0068321116
auto_macd,0.0068213195
ret_5d,0.0068120654
vix_change,0.006810629
crude_rsi,0.006809305
vix_lag2,0.00677406
gold_macd,0.006740995
energy_adx,0.0067312303
ha_trend,0.00671853
adx,0.0067062154
icici_macd,0.006691966
fmcg_macd,0.006683199
rel_rsi,0.0066798697
us10y_macd,0.006679441
us_vix_wr,0.0066501987
it_macd,0.006649749
rsi_lag3,0.00661071
range_pctile,0.0066095777
macd_hist_lag1,0.0065667816
ndx_macd,0.0065505514
bb_width,0.006501074
ret_10d,0.0064934525
energy_rsi,0.006455742
hsi_rsi,0.006454243
spread,0.0064268624
vix_accel,0.0063857473
dxy_macd,0.0063534686
energy_wr,0.006341389
williams_r,0.0063263485
atr_expansion,0.0062365322
hdfc_macd,0.006223917
sell_pct,0.0062060356
vwap_dev,0.006202389
roc_5,0.0061811693
hdfc_rsi,0.0061467662
nikkei_macd,0.006130347
natgas_macd,0.0061273472
rsi_lag2,0.006113807
crude_wr,0.006045313
hsi_macd,0.006017101
intraday_trend,0.0060155587
rsi_lag5,0.006013445
buy_pct,0.0060043884
us_vix_macd,0.005999554
rsi_lag1,0.0059895017
shanghai_rsi,0.0059885643
inda_macd,0.0059560225
auto_rsi,0.0059537874
us_vix_adx,0.0058993828
icici_adx,0.0058914893
pharma_ret,0.005891212
infra_adx,0.005859672
it_rsi,0.0057412856
macd_hist_lag2,0.0057342225
sp_ret,0.005708765
metal_adx,0.005707873
vix_lag3,0.0057004103
infra_rsi,0.005673233
pharma_wr,0.005660862
macd_hist,0.0056310217
roc_20,0.005626383
itc_rsi,0.005618743
consec_up,0.005616708
upper_wick,0.0055920877
itc_adx,0.0055770623
hdfc_wr,0.005573894
eem_macd,0.005563526
itc_macd,0.005464751
ret_3d,0.00544612
crude_macd,0.0054326025
fmcg_wr,0.0053764284
inda_ret,0.0053717787
rel_macd,0.0053376416
gold_wr,0.005293983
atr_ratio,0.0052786926
lower_wick,0.005261985
fmcg_ret,0.005241739
auto_adx,0.005232633
crude_ret,0.005232249
metal_wr,0.0051810467
energy_ret,0.005180015
eem_rsi,0.0051787645
natgas_rsi,0.0051673683
it_ret,0.0051239375
eem_adx,0.005104577
bn_rsi,0.0050054416
ema_dist_50,0.0049923523
gap_pct,0.0049458016
eem_ret,0.0049236566
nikkei_ret,0.004886897
it_wr,0.004842997
tcs_ret,0.004828649
body_pct,0.00478381
tcs_rsi,0.004758548
copper_ret,0.0047385534
bn_vs_nifty,0.0047358316
z20,0.0047251848
cmf_proxy,0.0046974705
ndx_rsi,0.004666314
nikkei_rsi,0.0046560345
itc_wr,0.0046449606
us10y_ret,0.0046434943
copper_rsi,0.0046351855
metal_ret,0.0046230513
auto_ret,0.0045966962
icici_wr,0.004581655
fmcg_adx,0.004570461
rel_ret,0.0045136535
inda_rsi,0.0044998224
close_position,0.00443983
ndx_ret,0.0044140685
shanghai_ret,0.0044032065
rel_adx,0.0043473924
gold_ret,0.0043428987
us_vix_rsi,0.0042942706
rel_wr,0.004285891
hdfc_ret,0.0042437734
pharma_rsi,0.004203656
icici_ret,0.0041504814
tcs_wr,0.0041124667
icici_rsi,0.00410908
auto_wr,0.00404243
gold_crude_ratio,0.0039490825
pe_ratio,0.003946255
energy_macd,0.0039384775
dxy_ret,0.0038688923
usdinr_z,0.0038175369
hsi_ret,0.0037888123
gold_adx,0.0037784344
fmcg_rsi,0.0035495297
momentum_div,0.0035063175
silver_ret,0.0031034956
silver_macd,0.0030952077
rsi_slope,0.0030057675
pharma_macd,0.002978702
roc_10,0.002952876
us10y_rsi,0.0029248882
infra_ret,0.0027989838
inda_adx,0.0022156597
ema_dist_10,0.0020715443
metal_rsi,0.0018330638
ret_20d,0.0
vix_spike,0.0
trend,0.0
obv_slope,0.0
gap_filled,0.0
engulfing,0.0
month_sin,0.0
macd_hist_lag3,0.0
bb_squeeze,0.0
us_vix_ret,0.0
